(24.455157113300494, 32.690059), (24.45514887684729, 32.690059)
(24.455188, 32.690343920127795), (24.455188, 32.690322003194886)
(24.45518697044335, 32.69038775399361), (24.45518697044335, 32.690585006389774)
(24.4551859408867, 32.69132579872205), (24.4551859408867, 32.69062884025559)
(24.4551859408867, 32.6913608658147), (24.4551859408867, 32.69139593290735)
(24.455172556650247, 32.69142661661342), (24.455183881773397, 32.69142661661342)
(24.455141669950738, 32.69142661661342), (24.45513755172414, 32.69142661661342)
(24.455111812807882, 32.69142661661342), (24.455122108374383, 32.69142661661342)
(24.455169467980294, 32.691224980830675), (24.455169467980294, 32.69137401597444)
(24.45472264039409, 32.69127319808307), (24.454885310344828, 32.69127319808307)
(24.454813241379313, 32.69121621405751), (24.454813241379313, 32.691242514376995)
(24.45486060098522, 32.69124689776358), (24.454861630541874, 32.69124689776358)
(24.45486060098522, 32.69120306389777), (24.45486060098522, 32.69123374760383)
(24.454561, 32.691124162939296), (24.45472058128079, 32.691124162939296)
(24.454733965517242, 32.69091814376997), (24.45468660591133, 32.69091814376997)
(24.454740142857144, 32.69091814376997), (24.454813241379313, 32.69091814376997)
(24.454826625615766, 32.6909356773163), (24.454826625615766, 32.69094882747604)
(24.454820448275864, 32.69106279552716), (24.454820448275864, 32.690997044728434)
(24.454886339901478, 32.691049645367414), (24.454855453201972, 32.691049645367414)
(24.454834862068967, 32.69091376038339), (24.45488222167488, 32.69091376038339)
(24.454667044334975, 32.69064637380192), (24.454561, 32.69064637380192)
(24.454568206896553, 32.69028693610223), (24.45466910344828, 32.69028693610223)
(24.45456202955665, 32.69011598402556), (24.45456202955665, 32.69013351757188)
(24.454616596059115, 32.690059), (24.454620714285717, 32.690059)
(24.454756615763547, 32.69006776677316), (24.454633068965517, 32.69006776677316)
(24.45477, 32.69007215015974), (24.454831773399015, 32.69007215015974)
(24.45517873399015, 32.69074280830671), (24.45468660591133, 32.69074280830671)
